16
>> Train dataset :  data/KsponSpeech/KsponSpeech_train.json
>> Test dataset :  ['data/KsponSpeech/KsponSpeech_test.json']
Loading checkpoint model models/AIHub_train/LSTM_512x3_512x2_AIHub_train/final.pth
Model loaded
Seq2Seq(
  (encoder): EncoderRNN(
    (conv): MaskConv(
      (seq_module): Sequential(
        (0): Conv2d(1, 32, kernel_size=(41, 11), stride=(2, 2), padding=(20, 5))
        (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (2): Hardtanh(min_val=0, max_val=20, inplace=True)
        (3): Conv2d(32, 32, kernel_size=(21, 11), stride=(2, 1), padding=(10, 5))
        (4): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
        (5): Hardtanh(min_val=0, max_val=20, inplace=True)
      )
    )
    (rnn): LSTM(1312, 512, num_layers=3, dropout=0.3, bidirectional=True)
  )
  (decoder): DecoderRNN(
    (rnn): LSTM(1536, 512, num_layers=2, batch_first=True, dropout=0.3)
    (embedding): Embedding(2003, 512)
    (input_dropout): Dropout(p=0.3, inplace=False)
    (attention): Attention(
      (conv): Conv1d(1, 512, kernel_size=(3,), stride=(1,), padding=(1,))
      (W): Linear(in_features=512, out_features=512, bias=False)
      (V): Linear(in_features=1024, out_features=512, bias=False)
      (fc): Linear(in_features=512, out_features=1, bias=True)
      (tanh): Tanh()
      (softmax): Softmax(dim=-1)
    )
    (fc): Linear(in_features=1536, out_features=2003, bias=True)
  )
)
Number of parameters: 31523060
Epoch: [1][243/38125]	Loss 0.1788	Cer 87.8125
Epoch: [1][244/38125]	Loss 0.2209	Cer 62.2896
Epoch: [1][245/38125]	Loss 0.1618	Cer 86.8365
Epoch: [1][246/38125]	Loss 0.2113	Cer 82.2014
Epoch: [1][247/38125]	Loss 0.2371	Cer 120.4861
Epoch: [1][248/38125]	Loss 0.2792	Cer 76.7810
Epoch: [1][249/38125]	Loss 0.1838	Cer 45.6731
Epoch: [1][250/38125]	Loss 0.2426	Cer 42.3559
Epoch: [1][251/38125]	Loss 0.1806	Cer 166.3121
Epoch: [1][252/38125]	Loss 0.2794	Cer 24.6499
Epoch: [1][253/38125]	Loss 0.2012	Cer 62.7072
Epoch: [1][254/38125]	Loss 0.2406	Cer 81.6754
Epoch: [1][255/38125]	Loss 0.1701	Cer 36.7589
Epoch: [1][256/38125]	Loss 0.2191	Cer 24.0664
Epoch: [1][257/38125]	Loss 0.2919	Cer 56.0563
Epoch: [1][258/38125]	Loss 0.1869	Cer 45.9016
Epoch: [1][259/38125]	Loss 0.1738	Cer 125.6684
Epoch: [1][260/38125]	Loss 0.2274	Cer 49.5902
Epoch: [1][261/38125]	Loss 0.2402	Cer 24.4804
Epoch: [1][262/38125]	Loss 0.0915	Cer 159.3350
Epoch: [1][263/38125]	Loss 0.2738	Cer 38.6667
Epoch: [1][264/38125]	Loss 0.2729	Cer 53.8835
Epoch: [1][265/38125]	Loss 0.1760	Cer 51.3846
Epoch: [1][266/38125]	Loss 0.2411	Cer 53.4247
Epoch: [1][267/38125]	Loss 0.2121	Cer 51.1927
Epoch: [1][268/38125]	Loss 0.1919	Cer 42.2535
Epoch: [1][269/38125]	Loss 0.1093	Cer 56.9892
Epoch: [1][270/38125]	Loss 0.2904	Cer 87.8116
Epoch: [1][271/38125]	Loss 0.2633	Cer 58.8679
Epoch: [1][272/38125]	Loss 0.1790	Cer 85.8896
Epoch: [1][273/38125]	Loss 0.1205	Cer 20.7585
Epoch: [1][274/38125]	Loss 0.1677	Cer 73.1707
Epoch: [1][275/38125]	Loss 0.2124	Cer 160.5856
Epoch: [1][276/38125]	Loss 0.1447	Cer 107.3232
Epoch: [1][277/38125]	Loss 0.2751	Cer 26.0526
Epoch: [1][278/38125]	Loss 0.1650	Cer 65.3580
Epoch: [1][279/38125]	Loss 0.2656	Cer 40.8297
Epoch: [1][280/38125]	Loss 0.1275	Cer 58.2697
Epoch: [1][281/38125]	Loss 0.2756	Cer 65.4321
Epoch: [1][282/38125]	Loss 0.1885	Cer 38.7909
Epoch: [1][283/38125]	Loss 0.2708	Cer 88.1944
Epoch: [1][284/38125]	Loss 0.1867	Cer 57.5000
Epoch: [1][285/38125]	Loss 0.2242	Cer 22.1212
Epoch: [1][286/38125]	Loss 0.2728	Cer 39.1304
Epoch: [1][287/38125]	Loss 0.1873	Cer 41.5385
Epoch: [1][288/38125]	Loss 0.2007	Cer 72.4868
Epoch: [1][289/38125]	Loss 0.1132	Cer 115.1351
Epoch: [1][290/38125]	Loss 0.1735	Cer 78.2772
Epoch: [1][291/38125]	Loss 0.1328	Cer 77.3050
Epoch: [1][292/38125]	Loss 0.2465	Cer 37.5566
Epoch: [1][293/38125]	Loss 0.1927	Cer 90.6336
